1,1,20,A-Tech Smartphone,2257.72
2,1,8,Premium Smartphone,1802.92
3,1,8,ValueMax Smartphone,2891.99
4,1,20,EcoLine Smartphone,2876.17
5,1,12,A-Tech Laptop,2590.64
6,1,11,Premium Laptop,1001.3
7,1,9,ValueMax Laptop,2236.69
8,1,15,EcoLine Laptop,155.23
9,1,17,A-Tech Tablet,2908.33
10,1,12,Premium Tablet,1240.32
11,1,13,ValueMax Tablet,371.71
12,1,9,EcoLine Tablet,228.4
13,1,8,A-Tech Smartwatch,2651.69
14,1,2,Premium Smartwatch,1342.7
15,1,8,ValueMax Smartwatch,1232.11
16,1,10,EcoLine Smartwatch,469.38
17,1,19,A-Tech Headphones,711.72
18,1,7,Premium Headphones,2525.99
19,1,18,ValueMax Headphones,1307.47
20,1,7,EcoLine Headphones,336.34
21,2,9,A-Tech Coffee Maker,270.72
22,2,8,Premium Coffee Maker,911.64
23,2,16,ValueMax Coffee Maker,826.33
24,2,17,EcoLine Coffee Maker,1001.19
25,2,4,A-Tech Vacuum,2562.01
26,2,1,Premium Vacuum,1431.84
27,2,19,ValueMax Vacuum,280.08
28,2,5,EcoLine Vacuum,850.14
29,2,18,A-Tech Desk Lamp,766.03
30,2,2,Premium Desk Lamp,2340.88
31,2,2,ValueMax Desk Lamp,199.26
32,2,5,EcoLine Desk Lamp,124.95
33,2,6,A-Tech Sofa,1042.34
34,2,6,Premium Sofa,2411.35
35,2,13,ValueMax Sofa,1861.14
36,2,14,EcoLine Sofa,1538.83
37,2,12,A-Tech Air Purifier,2008.28
38,2,9,Premium Air Purifier,1207.41
39,2,15,ValueMax Air Purifier,1033.02
40,2,6,EcoLine Air Purifier,755.74
41,3,13,A-Tech T-Shirt,2079.0
42,3,15,Premium T-Shirt,2793.68
43,3,16,ValueMax T-Shirt,400.23
44,3,15,EcoLine T-Shirt,2634.31
45,3,3,A-Tech Jeans,1545.36
46,3,16,Premium Jeans,2132.45
47,3,4,ValueMax Jeans,765.43
48,3,1,EcoLine Jeans,1021.63
49,3,4,A-Tech Sneakers,1198.91
50,3,20,Premium Sneakers,2195.44
51,3,3,ValueMax Sneakers,2081.1
52,3,4,EcoLine Sneakers,1659.58
53,3,7,A-Tech Winter Jacket,1434.22
54,3,2,Premium Winter Jacket,1050.15
55,3,14,ValueMax Winter Jacket,455.8
56,3,18,EcoLine Winter Jacket,2220.83
57,3,3,A-Tech Leather Belt,1400.82
58,3,5,Premium Leather Belt,902.88
59,3,3,ValueMax Leather Belt,897.06
60,3,8,EcoLine Leather Belt,2161.61
61,4,20,A-Tech Yoga Mat,24.61
62,4,3,Premium Yoga Mat,1315.84
63,4,9,ValueMax Yoga Mat,2594.29
64,4,19,EcoLine Yoga Mat,2759.01
65,4,11,A-Tech Dumbbells,258.71
66,4,16,Premium Dumbbells,1334.27
67,4,2,ValueMax Dumbbells,237.39
68,4,15,EcoLine Dumbbells,2276.75
69,4,7,A-Tech Bicycle,2072.77
70,4,17,Premium Bicycle,2504.96
71,4,10,ValueMax Bicycle,768.8
72,4,14,EcoLine Bicycle,2370.88
73,4,20,A-Tech Tent,255.05
74,4,12,Premium Tent,2334.28
75,4,4,ValueMax Tent,1218.54
76,4,9,EcoLine Tent,714.56
77,4,19,A-Tech Running Shoes,66.08
78,4,13,Premium Running Shoes,2248.45
79,4,2,ValueMax Running Shoes,895.46
80,4,1,EcoLine Running Shoes,73.39
81,5,8,A-Tech Perfume,615.09
82,5,4,Premium Perfume,2467.0
83,5,2,ValueMax Perfume,206.52
84,5,13,EcoLine Perfume,545.43
85,5,3,A-Tech Face Cream,2582.65
86,5,4,Premium Face Cream,678.75
87,5,8,ValueMax Face Cream,1989.13
88,5,18,EcoLine Face Cream,2092.68
89,5,17,A-Tech Hair Dryer,1025.61
90,5,5,Premium Hair Dryer,34.71
91,5,12,ValueMax Hair Dryer,1057.74
92,5,17,EcoLine Hair Dryer,2216.06
93,5,3,A-Tech Lipstick,2755.65
94,5,13,Premium Lipstick,552.95
95,5,20,ValueMax Lipstick,1374.53
96,5,5,EcoLine Lipstick,241.07
97,5,6,A-Tech Mascara,2685.05
98,5,8,Premium Mascara,2097.35
99,5,8,ValueMax Mascara,2469.78
100,5,12,EcoLine Mascara,2707.39
